;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
9895;Apartamento;Todos os Santos;2;1;1;52;1100.0;420.0;140.0
9896;Apartamento;Barra da Tijuca;2;1;2;67;1600.0;1220.0;90.0
9897;Apartamento;Jacaré;2;0;0;50;900.0;;
9898;Apartamento;Copacabana;3;0;0;127;2500.0;1165.0;
9899;Apartamento;Barra da Tijuca;2;1;1;66;2000.0;1100.0;168.0
9900;Apartamento;Barra da Tijuca;1;1;0;69;2000.0;1547.0;2100.0
9901;Apartamento;Rio Comprido;2;1;0;60;1500.0;950.0;320.0
9902;Apartamento;Gávea;2;2;1;123;6700.0;1500.0;35.0
9903;Apartamento;Barra da Tijuca;4;4;4;230;13000.0;2200.0;390.0
9904;Apartamento;Lagoa;3;1;1;152;6500.0;1900.0;420.0
9905;Apartamento;Flamengo;2;0;0;66;2400.0;753.0;
9906;Apartamento;Engenho de Dentro;2;1;0;50;1100.0;483.0;17.0
9907;Apartamento;Ipanema;2;1;2;75;6000.0;1685.0;
9908;Apartamento;Andaraí;2;0;0;70;1500.0;280.0;
9909;Apartamento;Barra da Tijuca;2;2;2;110;4300.0;1650.0;
9910;Apartamento;Freguesia (Jacarepaguá);2;1;1;68;1500.0;680.0;85.0
9911;Apartamento;Barra da Tijuca;5;3;4;797;22500.0;7000.0;42818.0
9912;Apartamento;Copacabana;1;0;0;36;1600.0;440.0;
9913;Apartamento;Barra da Tijuca;2;1;1;65;1700.0;700.0;100.0
9914;Apartamento;Barra da Tijuca;2;1;2;83;9000.0;;
9915;Apartamento;Gávea;3;1;0;125;5500.0;1700.0;
9916;Apartamento;Barra da Tijuca;2;1;1;69;2500.0;950.0;200.0
9917;Apartamento;São Cristóvão;2;1;1;55;1400.0;550.0;50.0
9918;Apartamento;Penha;1;0;0;40;850.0;;
9919;Apartamento;Tijuca;1;1;0;55;1400.0;407.0;59.0
9920;Apartamento;Jacarepaguá;2;0;1;53;1300.0;547.0;
9921;Apartamento;Recreio dos Bandeirantes;4;2;1;200;2590.0;935.0;
9922;Apartamento;Ipanema;4;2;2;467;55000.0;8000.0;
9923;Apartamento;Barra da Tijuca;3;2;1;141;3500.0;1500.0;345.0
9924;Flat;Barra da Tijuca;2;1;2;100;8000.0;5500.0;800.0
9925;Casa;Oswaldo Cruz;1;0;0;35;650.0;;
9926;Apartamento;Flamengo;3;1;1;98;2800.0;956.0;203.0
9927;Apartamento;Leme;2;1;1;90;4400.0;1050.0;190.0
9928;Casa de Condomínio;Barra da Tijuca;4;8;4;751;18000.0;2334.0;2404.0
9929;Apartamento;Copacabana;2;4;2;185;8000.0;2600.0;690.0
9930;Apartamento;Laranjeiras;3;1;1;128;3200.0;1640.0;230.0
9931;Casa de Condomínio;Barra da Tijuca;4;4;4;300;10000.0;700.0;5500.0
9932;Apartamento;Jacarepaguá;3;1;1;91;2000.0;1604.0;175.0
9933;Apartamento;Ipanema;3;1;1;180;5000.0;2163.0;55.0
9934;Apartamento;Recreio dos Bandeirantes;3;2;2;238;5000.0;1050.0;218.0
9935;Apartamento;Copacabana;2;1;0;80;3000.0;1200.0;195.0
9936;Apartamento;Barra da Tijuca;2;2;1;110;6000.0;1800.0;
9937;Quitinete;Copacabana;1;0;0;34;1400.0;754.0;69.0
9938;Apartamento;Recreio dos Bandeirantes;3;1;3;180;2300.0;830.0;388.0
9939;Casa;Jardim Botânico;4;4;4;845;35000.0;;1643.0
9940;Apartamento;Cosme Velho;1;0;0;36;1200.0;180.0;53.0
9941;Apartamento;Barra da Tijuca;3;1;1;93;4100.0;950.0;250.0
9942;Apartamento;Madureira;2;1;0;60;950.0;200.0;
9943;Apartamento;Recreio dos Bandeirantes;2;1;0;84;1500.0;470.0;
9944;Apartamento;Campinho;1;0;0;35;700.0;66.0;
9945;Apartamento;Jacarepaguá;2;1;0;47;1800.0;360.0;
9946;Apartamento;Laranjeiras;2;0;0;67;2500.0;762.0;93.0
9947;Apartamento;Ipanema;1;1;0;45;3500.0;600.0;100.0
9948;Apartamento;Leblon;3;1;2;110;10000.0;1275.0;290.0
9949;Apartamento;Recreio dos Bandeirantes;3;2;1;180;2800.0;890.0;350.0
9950;Apartamento;Ipanema;3;2;1;150;6300.0;2200.0;
9951;Apartamento;Tijuca;2;1;0;85;2000.0;600.0;
9952;Apartamento;São Cristóvão;2;1;1;70;1300.0;610.0;
9953;Apartamento;Barra da Tijuca;4;3;4;304;12000.0;3724.0;804.0
9954;Apartamento;Centro;1;0;0;33;1150.0;370.0;20.0
9955;Apartamento;Recreio dos Bandeirantes;3;3;1;298;3500.0;1000.0;400.0
9956;Apartamento;Recreio dos Bandeirantes;4;4;2;260;3500.0;1100.0;2700.0
9957;Apartamento;Vaz Lobo;3;1;0;90;1200.0;280.0;
9958;Apartamento;Recreio dos Bandeirantes;3;2;1;180;3500.0;910.0;436.0
9959;Apartamento;Ipanema;4;3;2;300;16000.0;3100.0;
9960;Casa de Condomínio;Freguesia (Jacarepaguá);3;3;1;178;2900.0;900.0;158.0
9961;Apartamento;São Conrado;5;2;1;225;11000.0;2250.0;
9962;Apartamento;Barra da Tijuca;4;3;2;220;7600.0;2600.0;
9963;Casa de Condomínio;Barra da Tijuca;4;3;1;320;10000.0;1500.0;10000.0
9964;Apartamento;Pechincha;2;1;1;65;1100.0;755.0;
9965;Apartamento;Botafogo;2;1;1;78;4550.0;1300.0;256.0
9966;Apartamento;Copacabana;3;1;0;160;5000.0;2260.0;230.0
9967;Quitinete;Flamengo;1;0;0;40;1000.0;490.0;
9968;Apartamento;Ipanema;3;2;1;150;6300.0;2000.0;495.0
9969;Apartamento;Lagoa;2;1;1;93;5000.0;1480.0;299.0
9970;Apartamento;Zumbi;2;1;0;64;1600.0;500.0;60.0
9971;Apartamento;Ipanema;2;1;1;139;6500.0;1800.0;4794.0
9972;Apartamento;Tijuca;2;1;0;66;1700.0;659.0;103.0
9973;Apartamento;Ipanema;3;0;1;121;7000.0;970.0;370.0
9974;Apartamento;Barra da Tijuca;3;2;1;79;1500.0;1200.0;220.0
9975;Apartamento;Copacabana;1;0;0;45;1600.0;530.0;30.0
9976;Flat;Barra da Tijuca;1;1;0;51;4200.0;;
9977;Apartamento;Lagoa;2;2;2;220;10000.0;3100.0;610.0
9978;Apartamento;Vila Isabel;1;0;0;40;1500.0;480.0;20.0
9979;Apartamento;Lagoa;3;4;2;380;30000.0;550.0;1700.0
9980;Apartamento;Flamengo;6;1;1;372;6900.0;2900.0;998.0
9981;Quitinete;Botafogo;1;0;0;25;1200.0;450.0;60.0
9982;Apartamento;Jardim Botânico;3;2;1;96;3500.0;1210.0;415.0
9983;Apartamento;Catete;2;1;1;65;2700.0;862.0;110.0
9984;Apartamento;Copacabana;3;1;0;90;2200.0;1352.0;130.0
9985;Apartamento;Barra da Tijuca;3;1;1;90;2500.0;1450.0;1500.0
9986;Apartamento;Jacarepaguá;3;1;1;118;2500.0;1426.0;215.0
9987;Apartamento;Copacabana;3;1;2;390;10000.0;2150.0;7060.0
9988;Apartamento;Centro;1;0;0;35;1000.0;335.0;25.0
9989;Apartamento;Barra da Tijuca;2;1;1;80;2000.0;1212.0;195.0
9990;Apartamento;Ipanema;4;2;3;300;13000.0;4200.0;1000.0
9991;Apartamento;Barra da Tijuca;3;2;1;114;5500.0;1243.0;287.0
9992;Apartamento;Barra da Tijuca;2;1;1;106;2580.0;1200.0;243.0
9993;Apartamento;Barra da Tijuca;3;2;1;104;3200.0;1227.0;399.0
9994;Apartamento;Tijuca;3;0;0;130;2760.0;250.0;23.0
9995;Apartamento;Copacabana;3;0;0;108;2500.0;1815.0;268.0
9996;Apartamento;Leme;1;0;0;45;1800.0;400.0;75.0
9997;Flat;Barra da Tijuca;1;1;0;52;2100.0;2600.0;322.0
9998;Apartamento;Ipanema;4;2;1;189;12000.0;2140.0;
9999;Casa;Jardim Botânico;4;3;1;263;28000.0;;
10000;Apartamento;Recreio dos Bandeirantes;2;1;1;97;1700.0;1100.0;130.0
10001;Apartamento;São Conrado;2;3;2;250;10000.0;3800.0;1493.0
10002;Apartamento;Barra da Tijuca;2;1;1;84;2500.0;1417.0;180.0
10003;Apartamento;Guadalupe;1;0;0;25;450.0;;
10004;Apartamento;Centro;1;0;0;46;1500.0;280.0;47.0
10005;Apartamento;Copacabana;3;1;2;190;5500.0;2500.0;495.0
10006;Apartamento;Tanque;2;0;0;57;850.0;643.0;
10007;Apartamento;Penha;2;0;0;80;900.0;;
10008;Apartamento;Ipanema;3;1;1;140;9000.0;1600.0;860.0
